id_data,data,ano,trimestre,mes,nome_mes,semana_ano,dia_semana,nome_dia,fim_semana
242,2022-08-30,2022,3,8,Agosto,35,1,Terca,0
243,2022-08-31,2022,3,8,Agosto,35,2,Quarta,0
244,2022-09-01,2022,3,9,Setembro,35,3,Quinta,0
245,2022-09-02,2022,3,9,Setembro,35,4,Sexta,0
246,2022-09-03,2022,3,9,Setembro,35,5,Sabado,1
247,2022-09-04,2022,3,9,Setembro,35,6,Domingo,1
248,2022-09-05,2022,3,9,Setembro,36,0,Segunda,0
249,2022-09-06,2022,3,9,Setembro,36,1,Terca,0
250,2022-09-07,2022,3,9,Setembro,36,2,Quarta,0
251,2022-09-08,2022,3,9,Setembro,36,3,Quinta,0
252,2022-09-09,2022,3,9,Setembro,36,4,Sexta,0
253,2022-09-10,2022,3,9,Setembro,36,5,Sabado,1
254,2022-09-11,2022,3,9,Setembro,36,6,Domingo,1
255,2022-09-12,2022,3,9,Setembro,37,0,Segunda,0
256,2022-09-13,2022,3,9,Setembro,37,1,Terca,0
257,2022-09-14,2022,3,9,Setembro,37,2,Quarta,0
258,2022-09-15,2022,3,9,Setembro,37,3,Quinta,0
259,2022-09-16,2022,3,9,Setembro,37,4,Sexta,0
260,2022-09-17,2022,3,9,Setembro,37,5,Sabado,1
261,2022-09-18,2022,3,9,Setembro,37,6,Domingo,1
262,2022-09-19,2022,3,9,Setembro,38,0,Segunda,0
263,2022-09-20,2022,3,9,Setembro,38,1,Terca,0
264,2022-09-21,2022,3,9,Setembro,38,2,Quarta,0
265,2022-09-22,2022,3,9,Setembro,38,3,Quinta,0
266,2022-09-23,2022,3,9,Setembro,38,4,Sexta,0
267,2022-09-24,2022,3,9,Setembro,38,5,Sabado,1
268,2022-09-25,2022,3,9,Setembro,38,6,Domingo,1
269,2022-09-26,2022,3,9,Setembro,39,0,Segunda,0
270,2022-09-27,2022,3,9,Setembro,39,1,Terca,0
271,2022-09-28,2022,3,9,Setembro,39,2,Quarta,0
272,2022-09-29,2022,3,9,Setembro,39,3,Quinta,0
273,2022-09-30,2022,3,9,Setembro,39,4,Sexta,0
274,2022-10-01,2022,4,10,Outubro,39,5,Sabado,1
275,2022-10-02,2022,4,10,Outubro,39,6,Domingo,1
276,2022-10-03,2022,4,10,Outubro,40,0,Segunda,0
277,2022-10-04,2022,4,10,Outubro,40,1,Terca,0
278,2022-10-05,2022,4,10,Outubro,40,2,Quarta,0
279,2022-10-06,2022,4,10,Outubro,40,3,Quinta,0
280,2022-10-07,2022,4,10,Outubro,40,4,Sexta,0
281,2022-10-08,2022,4,10,Outubro,40,5,Sabado,1
282,2022-10-09,2022,4,10,Outubro,40,6,Domingo,1
283,2022-10-10,2022,4,10,Outubro,41,0,Segunda,0
284,2022-10-11,2022,4,10,Outubro,41,1,Terca,0
285,2022-10-12,2022,4,10,Outubro,41,2,Quarta,0
286,2022-10-13,2022,4,10,Outubro,41,3,Quinta,0
287,2022-10-14,2022,4,10,Outubro,41,4,Sexta,0
